Àðòèêóë;x1;y1;x2;y2;x3;y3;x4;y4;x5;y5;x6;y6
118513;27;55;36;78;36;78;27;55;0;0;0;0
118514;32;66;42;93;42;93;32;66;0;0;0;0
118531;27;61;27;61;27;61;0;0;0;0;0;0
118532;35;80;35;80;35;80;0;0;0;0;0;0
118533;43;98;43;98;43;98;0;0;0;0;0;0
118534;51;116;51;116;51;116;0;0;0;0;0;0
111851;55;55;0;0;0;0;0;0;0;0;0;0
111852;70;70;0;0;0;0;0;0;0;0;0;0
111853;85;86;0;0;0;0;0;0;0;0;0;0
111854;100;101;0;0;0;0;0;0;0;0;0;0
118611;20;49;20;49;20;49;20;49;0;0;0;0
118612;26;64;26;64;26;64;26;64;0;0;0;0
118613;32;78;32;78;32;78;32;78;0;0;0;0
118614;38;93;38;93;38;93;38;93;0;0;0;0
111881;17;44;23;56;23;56;17;44;0;0;0;0
111882;22;57;30;72;29;73;22;57;0;0;0;0
111883;27;69;36;88;36;89;27;70;0;0;0;0
111884;32;82;43;105;43;106;32;82;0;0;0;0
118621;17;44;23;56;23;56;17;45;0;0;0;0
118622;22;57;29;72;29;73;22;58;0;0;0;0
118623;27;70;36;89;36;89;27;72;0;0;0;0
118624;31;83;43;105;43;106;31;85;0;0;0;0
118651;20;57;20;57;20;57;20;57;0;0;0;0
118652;26;74;26;74;26;74;26;74;0;0;0;0
118653;32;91;32;91;32;91;32;91;0;0;0;0
118654;38;107;38;107;38;107;38;107;0;0;0;0
112261;60;40;0;0;0;0;0;0;0;0;0;0
112262;83;55;0;0;0;0;0;0;0;0;0;0
112263;106;70;0;0;0;0;0;0;0;0;0;0
112264;130;86;0;0;0;0;0;0;0;0;0;0
112351;19;46;19;46;19;46;0;0;0;0;0;0
112352;26;64;26;64;26;64;0;0;0;0;0;0
112353;34;82;34;82;34;82;0;0;0;0;0;0
112354;41;100;41;100;41;100;0;0;0;0;0;0
112421;29;29;28;29;28;29;0;0;0;0;0;0
